movie_name,description,genre
American History X,derek vineyard parol serv 3 year prison kill two africanamerican men brother danni vineyard narrat learn go prison derek skin leader violent white supremacist gang commit act racial crime throughout la action greatli influenc danni reform fresh prison derek sever contact gang becom determin keep danni go violent path,Drama
The Quintessential Quintuplets Movie,five love young girl hate studi hire maritim tutor futuro guid educ also heart time spent brought closer feel grow within girl futuro finish third year high school last school festiv approach set sight ’ next futur one futuro,"Animation, Comedy, Romance"
Dou kyu sei – Classmates,rito sao honor student perfect score entranc exam hiker kusakab band popular among girl would never cross path one day start talk practic school ’ upcom choru festiv school two meet regularli hiker help rito improv sing skill listen ’ voic harmon heart start beat togeth,"Romance, Animation"
Princess Mononoke,ashitaka princ disappear rekishi peopl curs demon boar god must journey west find cure along way encount san young human woman fight protect forest ladi joshi tri destroy ashitaka must find way bring balanc conflict,"Adventure, Fantasy, Animation"
Back to the Future,eighti teenag parti fli accident sent back time 1955 inadvert disrupt parent first meet attract mother romant interest parti must repair damag histori remind parent romanc help eccentr inventor friend doc brown return 1985,"Adventure, Comedy, Science Fiction"
The Wild Robot,shipwreck intellig robot call row strand uninhabit island surviv harsh environ row bond island anim care orphan babi goos,"Animation, Science Fiction, Family"
A Brighter Summer Day,boy experi first love friendship injustic grow 1960 taiwan,"Crime, Drama, Romance"
"Josee, the Tiger and the Fish",dream dive abroad tune get job assist jose artist whose imagin take far beyond wheelchair tide turn push place never thought possibl inspir love fit storybook,"Animation, Drama, Romance"
Ikiru,kanji wannab middleag man work monoton bureaucrat posit decad learn cancer start look mean life,Drama
Perfect Blue,encourag manag rise pop star mma take recur role popular tv show suddenli handler collabor begin turn murder,"Animation, Thriller"
Dead Poets Society,elit oldfashion board school new england passion english teacher inspir student rebel convent seiz potenti everi day court disdain stern headmast,Drama
Counterattack,hostag rescu mission creat new enemi capt guerrero elit soldier must face ambush crimin group,"Action, Adventure, Thriller"
Léon: The Professional,léon top hit man new york earn rep effect cleaner nextdoor neighbor wipe loosecannon dea agent becom unwil custodian 12yearli mathilda long mathilda thought turn reveng consid follow léon footstep,"Crime, Drama, Action"
Sunset Boulevard,hack screenwrit write screenplay former silent film star fade hollywood obscur,Drama
The Great Dictator,dictat devoid hynkel tri expand empir poor jewish barber tri avoid persecut hynkel regim,"Comedy, War"
Dedicated to my ex,film tell stori ariel 21yearli decid form rock band compet prize ten thousand dollar music band contest last option tri get money save relationship reunit girlfriend break due trip must make finland internship ariel friend omega decid make cast find member band although know noth music thu form band member divers opposit person,"Drama, Comedy"
Given,hari secretli feel akihiko year akihiko still relationship roommat violinist get mural hari akihiko ugetsu love clash start move forward,"Animation, Drama, Music, Romance"
Violet Evergarden: The Movie,world move war technolog advanc bring chang life violet still hope see lost command offic,"Animation, Fantasy, Romance, Drama"
Hotarubi no Mori e,one hot summer day littl girl get lost enchant forest mountain god spirit resid young boy appear touch fear make disappear wondrou adventur await,"Romance, Animation, Fantasy"
We All Loved Each Other So Much,three partisan bound strong friendship return home war clash everyday realiti put strain bond,"Drama, Comedy"
